,ema_230421_090640T09.06.00.00.wav,ema_230421_090745T09.07.00.00.wav,firstreef_230420_201800T01.08.00.00.wav,firstreef_230420_201500T01.50.00.00.wav,firstreef_230420_201200T01.20.00.00.wav,firstreef_230420_200900T00.09.00.00.wav,firstreef_230420_200600T00.06.00.00.wav,firstreef_230420_200300T00.30.00.00.wav,firstreef_230420_200000T00.00.00.00.wav,ema_230421_085905T08.59.00.00.wav,ema_230421_090010T09.00.00.00.wav,ema_230421_090115T09.01.00.00.wav,ema_230421_090220T09.02.00.00.wav,ema_230421_090325T09.03.00.00.wav,ema_230421_090430T09.04.00.00.wav,ema_230421_090535T09.05.00.00.wav,firstreef_230420_195700T09.57.00.00.wav,firstreef_230420_195400T09.54.00.00.wav,firstreef_230420_195100T09.51.00.00.wav,narega1_230424_122930T22.09.00.00.wav,narega1_230424_122825T22.08.00.00.wav,narega1_230424_122720T22.07.00.00.wav,narega1_230424_122615T22.06.00.00.wav,narega1_230424_122510T22.50.00.00.wav,narega1_230424_122405T22.40.00.00.wav,narega1_230424_122300T22.30.00.00.wav,narega1_230424_122155T22.10.00.00.wav,narega1_230424_122050T22.00.00.00.wav,narega1_230424_121945T21.09.00.00.wav,tuare_230420_234200T03.42.00.00.wav,tuare_230420_233900T03.39.00.00.wav,tuare_230420_233600T03.36.00.00.wav,tuare_230420_233300T03.33.00.00.wav,tuare_230420_233000T03.30.00.00.wav,tuare_230420_232700T03.27.00.00.wav,tuare_230420_232400T03.24.00.00.wav,tuare_230420_232100T03.21.00.00.wav,tuare_230420_231800T03.18.00.00.wav,tuare_230420_231500T03.15.00.00.wav,ema_230421_085800T08.58.00.00.wav
34,0.26491737,0.2601135,0.1562475,0.1547698,0.16928624,0.09041361,0.15464732,0.17480999,0.16367106,0.3329385,0.28381217,0.254847,0.23171467,0.22827016,0.2945982,0.22085534,0.1445098,0.16856413,0.17072134,0.1876392,0.13795245,0.1373627,0.19272734,0.1413731,0.14094876,0.15737228,0.17017187,0.1792812,0.15098949,0.7334613,0.6575409,0.5020738,0.41614643,0.33249477,0.18853746,0.2622027,0.19636331,0.14416984,0.1399,0.34369895
35,1.9208448,1.8884948,0.55176365,0.5997929,0.5602697,0.55417037,0.57725286,0.61399853,0.56008047,1.906776,1.9345602,1.8568598,1.8163748,2.0329182,1.8313235,1.9026821,0.62538,0.5790959,0.5483282,2.0437024,1.9245248,2.0081737,1.8261201,2.0611405,1.9558436,1.862962,1.9641999,1.889021,2.0617766,1.5680351,1.6428235,1.6851445,1.5839411,1.4890373,1.6931899,1.5859385,1.6897173,1.6525918,1.5739592,1.7693596
36,0.0,0.0,0.0014553039,0.0,0.0,0.00013895164,0.002821631,0.0034768747,0.0032067169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018678698,0.0058573745,0.008603381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0015637156,0.0,0.041117143,0.032662846,0.020207105,0.012798063,0.012640752,0.018696863,0.006991338,0.0056865504,0.0,0.0036595103,0.0,0.0,0.0,0.0,0.020855935,0.005761539,0.0060004806,0.040832575,0.01167189,0.027419584,0.04825547,0.029374503,0.039372362,0.02162898,0.029433513,0.024516776,0.03715187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009441516
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0030549734,0.002862514,0.0011873394,0.005509544,0.001870058,0.0019542852,0.00201067,0.0026322706,0.00043996135,5.8036658e-05,0.0,0.0010334518,0.0003251299,0.00013082883,0.00030667312,0.0013619803,0.0065573636,0.0040708105,0.0006580365,0.0024942507,0.0,0.009641664,0.0011932872,0.0036598968,0.0011010441,0.0021424324,0.0050485395,0.0006512187,0.03337981,0.033575792,0.02129775,0.013438684,0.011022999,0.0031189485,0.015448399,0.005969037,0.0037080103,0.005529919,0.004235366
40,0.007807215,0.015195453,0.17890851,0.17834553,0.18197998,0.25702855,0.2514687,0.21788175,0.22637375,0.033842362,0.023785274,0.011287724,0.015139,0.009542906,0.007722059,0.015660904,0.23999655,0.2541749,0.22732379,0.034597553,0.027249794,0.016641743,0.051192846,0.029418966,0.037745234,0.03483314,0.019090293,0.025052961,0.026127731,0.13656412,0.07500573,0.050072268,0.13888648,0.15292269,0.09344487,0.11816365,0.10324485,0.100692354,0.11035744,0.035382953
41,0.00842071,0.012269344,0.0,0.0003768297,0.00053892046,0.00094890414,0.0012232285,0.0001593023,0.0044103237,0.014275133,0.003992404,0.00085362094,0.0013216162,0.008174156,0.008914256,0.008281705,0.0057907635,0.0021029124,0.0019132018,0.0,0.0,0.0,0.0003334094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021751627
42,1.0524927,0.9699026,0.20307676,0.21367633,0.20256256,0.1404789,0.17021053,0.18798181,0.17803448,1.0038149,1.0483358,0.99882436,0.9772513,1.1065162,0.9322269,1.0078882,0.20074601,0.14338358,0.16231064,1.2711755,1.1918879,1.1963162,1.0575377,1.2307934,1.1988434,1.1242625,1.1515661,1.1031051,1.2688222,0.62162286,0.7502912,0.80897915,0.7099103,0.64946485,0.8129315,0.6942477,0.72231174,0.76812506,0.6838697,1.0301331
43,1.6939286,1.6891925,0.20340458,0.22080773,0.23176701,0.23571542,0.2417687,0.23159197,0.229645,1.7024605,1.7826318,1.6624551,1.6167778,2.0096104,1.6481549,1.7003368,0.25991145,0.27304924,0.23701465,1.6956191,1.5740433,1.5985662,1.3583838,1.6995585,1.582075,1.4919457,1.5971967,1.4278759,1.6867806,0.97538835,1.0945523,1.3110793,1.2290049,1.1931716,1.4534184,1.2497932,1.3900628,1.3953514,1.3098491,1.5365974
